@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17}

@data
60,'2026/06/17 14:41:32:586',4,0,0,3.951859,0,0,0,1.95598,1.219092,0,0,0,0.175414,0,3.176866,2.150999,0,0,1.077535,0,0.002542,0,1.133503,1.431266,0.120492,0,0.011632,0.871094,0,0,0.306906,3
61,'2026/06/17 14:41:32:629',4,0,0,0,0,6.067837,2.41972,0,0,0.692001,1.540357,0,0,0.453086,1.262048,0,0,0,0,0,0,0.028697,0,0.526975,0.040717,0,0.272532,0,1.159507,0.352057,0,3
62,'2026/06/17 14:41:32:692',4,11.433266,0,1.42466,11.342443,16.978933,10.22936,1.655413,3.003139,7.191175,4.716958,3.508076,1.123976,0,1.301144,0,0,0,0,0,1.618176,0,0,1.624134,1.71891,0,0,0,2.51078,0.254897,0,3
63,'2026/06/17 14:41:32:724',4,1.711105,0,12.146743,13.221935,15.807184,6.948589,3.24794,7.500619,7.870324,4.241467,5.055729,2.688689,0,0.959715,0,0,0,0,0,2.168135,0,0,2.92759,2.839587,0,0,0,2.677843,0,0,3
64,'2026/06/17 14:41:32:772',4,0,0,8.090991,2.859373,4.309392,0.613606,2.186559,2.071739,2.610774,0.850237,0.936395,1.853092,0,0.246618,0,0,0,0,0,0,0,0,0.738334,0,0,0,0.174067,1.362843,0.942853,0,3
65,'2026/06/17 14:41:32:823',4,0,0,0,6.053707,4.43091,2.192799,6.276913,7.076561,5.698725,2.396054,3.595918,4.34799,0,0.115786,0,0,0,0,0,0.604834,0,0,0.213727,1.712141,0,1.336807,3.489745,3.439692,0.785434,0.456611,3
66,'2026/06/17 14:41:32:867',4,8.663527,0,7.704421,8.393106,8.010649,6.490772,5.766332,6.723144,8.140789,0.604334,3.997324,3.732641,0,1.002715,0,0,0,0,0,0.211098,0,0,0.647944,2.035383,0,2.490491,1.791763,3.668116,0.735782,0.456739,3
67,'2026/06/17 14:41:32:917',4,0,0,21.210344,16.872002,10.205057,4.255137,0.292735,6.06175,5.778107,0.436578,7.640885,3.569843,0,0,0,0,0,0,0,4.296819,0,0,2.432645,1.69099,0,0,0,1.437743,0.274155,1.122738,3
68,'2026/06/17 14:41:32:961',4,0,0,4.858191,0,0,0,0.090678,0,0,0,0,1.520221,0,0.521292,0,0.246596,0,0,0,0,0,0,0,0,0,0.92082,1.128905,0.769315,0,0,3
69,'2026/06/17 14:41:33:010',4,10.431164,0,3.753003,4.684947,7.819188,6.669236,4.522333,0.884823,5.875384,4.34528,5.709206,4.431705,0,0,0,0,0,0,0,1.247732,1.68277,0,0.626851,5.667871,0,3.359054,1.96713,5.572075,4.74959,0.47937,3
